Task	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Number_of_Events.Logged_live_Event	Time_to_first_Event.Logged_live_Event	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Task 15	Alessia	Entire Recording	1	scenevideo	12777	0	0				9617	641	15	240	3,20576	10	157,91	31,2	276,81	83,64	4,52	1,75	7,36	45,19	425	202,85	231,39	157,25	6,02
Task 16	Alessia	Entire Recording	1	scenevideo	22875	0	0				17111	182	94	80	3,37057	82	158,76	33,42	623,63	98,7	4,55	0,76	19,13	372,89	785	80,81	623,63	303,56	19,13
Task 17	Alessia	Entire Recording	1	scenevideo	26488	0	0				21579	308	70	160	3,37098	54	158,43	32,18	665,99	148	4,62	0,52	23,35	249,29	330	78,77	665,99	310,84	23,35
Task 18	Alessia	Entire Recording	1	scenevideo	12058	0	0				8836	465	19	60	3,12704	15	138,68	30,84	359,11	101,29	3,91	1,05	7,95	58,72	266	328,18	59,67	59,67	1,68
Task 19	Alessia	Entire Recording	1	scenevideo	17558	0	0				15127	378	40	140	3,49024	35	115,77	30,19	488,39	85,65	3,53	0,82	19,47	123,56	377	81,83	488,39	321,26	19,47
Task 20	Alessia	Entire Recording	1	scenevideo	1008767	0	0				7013	242	29	281	3,37796	27	193,58	72,43	357,69	70,05	5,44	2,26	9,67	146,85	199	191,02	110,52	79,16	4,25
Task 21	Alessia	Entire Recording	1	scenevideo	12507	0	0				11040	460	24	60	3,16449	20	184,09	30,57	635,2	142,9	5,82	1,89	21,28	116,49	55	24,86	45,99	45,99	1,89
Task 1	Filippo	Entire Recording	1	scenevideo	8582	0	0				7654	589	13	260	3,17975	14	123,49	44,1	328,34	80,17	3,48	0,91	7,79	48,75	297	331,91	94,82	94,82	3,13
Task 2	Filippo	Entire Recording	1	scenevideo	13631	0	0				12422	460	27	281	3,31153	26	67,32	31,15	210,67	36,36	1,75	0,93	5,28	45,5	197	7,37	34,02	34,02	1,31
Task 3	Filippo	Entire Recording	1	scenevideo	18831	0	0				15167	410	37	281	3,21541	31	114,43	31	307,03	76,96	3,36	0,6	13,26	104,19	1270	10,37	39,6	39,6	0,73
Task 4	Filippo	Entire Recording	1	scenevideo	13670	0	0				11601	276	42	120	3,37785	40	146,2	36,17	375,43	79	4,12	0,56	15,91	164,86	95	279,26	148,31	148,31	3,01
Task 5	Filippo	Entire Recording	1	scenevideo	12352	0	0				10599	379	28	441	3,45092	26	159,24	35,22	440,1	92,51	4,12	0,81	16,19	106,99	841	87,93	440,1	202,1	16,19
Task 6	Filippo	Entire Recording	1	scenevideo	8903	0	0				8015	534	15	60	3,36632	14	139,17	35,63	246,54	71,14	3,74	0,86	7,44	52,36	117	108,09	191,78	112,8	4,74
Task 7	Filippo	Entire Recording	1	scenevideo	19242	0	0				16049	334	48	260	3,33189	43	130,45	30,18	475,07	111,33	4,15	0,59	18,82	178,44	438	186,84	168,03	111,16	4,63
Task 8	Filippo	Entire Recording	1	scenevideo	13629	0	0				12062	464	26	120	3,40563	25	99,82	30,12	346,27	67,11	2,79	0,92	9,4	69,82	75	99,29	97,01	83,29	3,31
Task 9	Filippo	Entire Recording	1	scenevideo	7782	0	0				6512	362	18	321	3,38617	16	104,01	31,63	274,29	66,83	3,84	0,72	20,32	61,43	98	273,29	274,29	185,08	20,32
